学名,和名,Pdfリンク,開長(mm),分布,食草,メモ
Eurema_andersoni,ウスイロキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pier 5.pdf,40,東インド～スンダ～台湾,クロウメモドキ科のVentilago calyculata,本属の生息は熱帯圏を取り巻いて北区まで。後翅は丸いものが大半。前翅の先端から下方にかけての黒縁が季節で異なる。幼虫はマメ科。
Eurema_serebensis,セレベスキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pier 5.pdf,40,セレベス,クロウメモドキ科のVentilago ablongifolia,本属の生息は熱帯圏を取り巻いて北区まで。後翅は丸いものが大半。前翅の先端から下方にかけての黒縁が季節で異なる。幼虫はマメ科。
Eurema_candida,パプアキチョウ♀,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-pier 5.pdf,50,ニューギニアとその周辺,マメ科のハスノミカズラ,本属の生息は熱帯圏を取り巻いて北区まで。後翅は丸いものが大半。前翅の先端から下方にかけての黒縁が季節で異なる。幼虫はマメ科。
Abisara_saturata,エビイロヒョットコ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ri 1.pdf,44,ビルマ～スンダランド,ヤブコウジ科のMaesa ramentacea（キダチイ ズセンリョウ）,東南アジアと熱帯アフリカにそれぞれ１０種ほど。熱帯低地の森林に住み朝夕に開けて場所に出てくる。
Abisara_kausambi,シロスジヒョットコ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ri 1.pdf,42,ビルマ～スンダランド,ヤブコウジ科のEmbelia dasythyrsa,東南アジアと熱帯アフリカにそれぞれ１０種ほど。熱帯低地の森林に住み朝夕に開けて場所に出てくる。
Dodona_eugenes,シジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ri 1.pdf,40,ヒマラヤ～タイ・ベトナム～中国・台湾,ヤブコウジ科のMyrsine semiserrata,この属は、東南アジアに１０数種あり。台湾にいるこの種 は山地に発生する珍種だが、ヒマラヤではさにあらず。敏 捷に飛ぶが路上に止まることが多い。
Laxita_damajani,アカムラサキシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-ri 1.pdf,45,ビルマ～スンダランド,,ビルマ～スンダランドにかけて４種。その中でも本種は 最も美麗な種。森林の奥深くに生息し、木の葉に止 まっているのが見られる。
Mycalesis_igoleta,イタコジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-sa 1.pdf,40,Philippine,イネ科のエダウチチジミササ,ｱﾌﾘｶ～ｲﾝﾄﾞ·ｵｰｽﾄﾗﾘｱ区に分布。雨期と 乾季で模様が変る。ある種は普通種、あ る種は稀な種である。殆どの種は低地を 好む。食草はｶﾔﾂﾘｸﾞｻとｲﾈ科。
Lethe_rohria,ウラマダラシロオビ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-sa 1.pdf,66,India～Thailand～Taiwan,イネ科のコガネススキMiscanthus flavidus,本属はヒカゲチョウが代表種。分布の中心はヒマラヤでセ イロン～北中国、Sundaland～モルッカ諸島に広がる。林 辺のに生息し、とくに夕方に活発に飛ぶ。
Neoria_lowii,ムカシヒカゲ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-sa 1.pdf,120,SundaLand,竹類,林間の蝶でシッキム～Sundalandに生息。東南アジア最大 のヒカゲチョウ、筆者にも飛んでいるとモンキアゲハのよう に見えた。化石が採掘された数少ない蝶でムカシアゲハと いう。
Zethera_pimplea♂,ヒロオビダマシヒカゲ♂,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-sa 2.pdf,86,Luzon,イネ科の半ツル性の竹,ﾏﾀﾞﾗﾁｮｳ科への擬態が見られ、飛んでいるところは区別できない。
Zethera_pimplea♀,ヒロオビダマシヒカゲ♀,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-sa 2.pdf,86,Luzon,イネ科の半ツル性の竹,ﾏﾀﾞﾗﾁｮｳ科への擬態が見られ、飛んでいるところは区別できない。
Elymnias_hypermnestra,ルリモンヒカゲ♀,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-sa 3.pdf,72,インド～スンダランド,ココヤシ、アブラヤシなどのヤシ科,インド・セイロンから北は台湾フィリピン・セレベスまで分布する大属で♀♂異型。草はマダラチョウ科の Danausに擬態する種が多い。食草は他のヒカゲチョウと異なりヤシ科
Elymnias_hypermnestra,ルリモンヒカゲ♂,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-sa 3.pdf,68,インド～スンダランド,ココヤシ、アブラヤシなどのヤシ科,インド・セイロンから北は台湾フィリピン・セレベスまで分布する大属で♀♂異型。草はマダラチョウ科の Danausに擬態する種が多い。食草は他のヒカゲチョウと異なりヤシ科
Ypthia_pandocus,クロウラナミジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-sa 3.pdf,42,スンダランド,稲,山地にみられる普通種で、日当たりのよいところを好む。７０種以上を含み東半球に最も広範囲な分布を持ち、ヨー ロッパからオーストラリアに及んでいる。日陰や曇天を好 み、雨の日も活動する。食草はイネ科、スゲ科。
Curetis_saronis,マラヤウラギンシジミ♂,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/n_arc-ly 5.pdf,39,ビルマ～スマトラ,マメ科のﾅﾝﾊﾞﾝｱｶｱｽﾞｷ,すべて裏が銀色の種を含む属で日本を含む東南アジアの特産種。本種はマレーでは普通種。十数種類生息。日本にもこの種が一種類いて、暖地の普通種
Curetis_saronis,マラヤウラギンシジミ♀,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/n_arc-ly 5.pdf,39,ビルマ～スマトラ,マメ科のﾅﾝﾊﾞﾝｱｶｱｽﾞｷ,すべて裏が銀色の種を含む属で日本を含む東南アジアの特産種。本種はマレーでは普通種。十数種類生息。日本にもこの種が一種類いて、暖地の普通種
Curetis_saronis,マラヤウラギンシジミ♂裏,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/n_arc-ly 5.pdf,39,ビルマ～スマトラ,マメ科のﾅﾝﾊﾞﾝｱｶｱｽﾞｷ,すべて裏が銀色の種を含む属で日本を含む東南アジアの特産種。本種はマレーでは普通種。十数種類生息。日本にもこの種が一種類いて、暖地の普通種
Danaus_gillipus,ジョウオウマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-da 1.pdf,81,南部,トウワタ,Danaus属はｲﾝﾄﾞ·ｵｰｽﾄﾗﾘｱ地区で多数の種あり。Monarchは長距離移動し、ﾓﾝﾄﾚｰやﾒｷｼｺで集団越冬する。また、 Queenはテキサスから南部カルフォルニアに分布。いずれの種も長距離を移動。食草はｶﾞｶﾞｲﾓで鳥に有毒。
Danaus_plexippus,オオカバマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-da 1.pdf,91,US,トウワタ,Danaus属はｲﾝﾄﾞ·ｵｰｽﾄﾗﾘｱ地区で多数の種あり。Monarchは長距離移動し、ﾓﾝﾄﾚｰやﾒｷｼｺで集団越冬する。また、 Queenはテキサスから南部カルフォルニアに分布。いずれの種も長距離を移動。食草はｶﾞｶﾞｲﾓで鳥に有毒。
Heliconius_charitonia,キジマドクチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hel 1.pdf,81,南部,passionflower（トケイソウ）,Heliconiusは新熱帯区に莫大な種を容する大属。北米の土着種は本種だけ。食草のﾄｹｲｿ ｳに由来する有毒物質で鳥に敬遠される。多くの擬態あり。飛翔は緩慢。
Agraulis_vanillae,ワンガンドクチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hel 1.pdf,69,南部,passionflower（トケイソウ）,Agraulisは、北米から南米の全域に分布。翅裏にまばゆいば銀紋あり。ﾄｹｲｿｳの栽培で生 息範囲を拡大。
Astraptes_fulgerator,ウチムラサキセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hes 1.pdf,54,中南部,Chaste-tree（Vitex,この属は、翅表面の基部に緑または青に鋭く輝く種が ある。食草はﾏﾒ科。
Megathymus_ursus,ウルススオオセリ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hes 1.pdf,79,中南部,"Ｙｕｃｃａ（ユッカ,イトラン）",US西南部の乾燥地帯から中米にかけて生息する大属。薄暮 飛翔性。食草はｲﾄﾗﾝ、ﾘｭｳｾﾞﾂﾗﾝ属。搾孔して内部を食す。
Astraptes_fulgerator,ウチムラサキセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hes 1.pdf,54,中南部,Chaste-tree（Vitex,この属は、翅表面の基部に緑または青に鋭く輝く種が ある。食草はﾏﾒ科。
Phocides_urania,マングローブセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hes 2.pdf,50,Fla,,熱帯ｱﾒﾘｶを中心に分布する大きく胴の太い種からなる。食草はﾏﾝｸﾞﾛｰﾌﾞ。
Phocides_polybius,グアバセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hes 2.pdf,50,Fla,"Guava,AracなどのPsidim",熱帯ｱﾒﾘｶを中心に分布する大きく胴の太い種からなる。食草はﾏﾝｸﾞﾛｰﾌﾞ。
Proteides_mercurius,ヤマアイセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hes 3.pdf,56,南部,Cassia spp,熱帯南米を中心に生息する茶色の巨大なｾｾﾘ。２種が 知られている
Urbanus_proteus,オナガセセリ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-hes 3.pdf,45,Fla,数種のマメ類など,尾の長いｾｾﾘの代表種。28種で、殆どは分布の広い普通種。 食草はﾏﾒ科、ｲﾈ科。
Libythea_bachmanii,テングチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-lib 1.pdf,45,テキサス～アリゾナ～コロラド,草 エノキ（榎）属の木（米国産）,新大陸のテングチョウはいずれも口肢（ｐａｌｐｉ）が胴に比べて長い。なお、旧世界のものは、逆。
Libythea_carinenta,テングチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-lib 1.pdf,45,布 アリゾナ、テキサス～パラガイ,エノキ（榎）属の木（米国産）,新大陸のテングチョウはいずれも口肢（ｐａｌｐｉ）が胴に比べて長い。なお、旧世界のものは、逆。
Atlides_halesus,オオルリシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ly 1.pdf,45,US,ヤドリギ(Pharadendron),北米でもっとも鮮やかな色彩の蝶。後翅は長い尾状 突起がある。♂には前翅表に性標がある。
Lycaena_hyllus,ブロンドベニシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ly 1.pdf,35,オンタリオ～ニュージャジ,ギシギシ（タデ科）,Lycaena属は、いわゆるベニシジミの群で全北区を中心に 北アフリカ、南アフリカ、ニュージーランドに分布する。タデ科 のキシギシ族を食べる。本種は紫色に光る。
Eumaeus_atala,マルバネカラスシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ly 2.pdf,44,Fla,cycads(Zamia),中央アメリカを中心に分布する５種の大型シジミ。後翅は丸いが、形体を分析するとカラスシジミに近縁。食草はソテ ツ科。本種は以前フロリダからキーウエストにかけて普通種だったが一時絶滅したかと思われていたが、最近再発見 されて保護されている。
Eumaeus_atala,マルバネカラスシジミＵＮ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ly 2.pdf,44,Fla,cycads(Zamia),中央アメリカを中心に分布する５種の大型シジミ。後翅は丸いが、形体を分析するとカラスシジミに近縁。食草はソテ ツ科。本種は以前フロリダからキーウエストにかけて普通種だったが一時絶滅したかと思われていたが、最近再発見 されて保護されている。
Hypaurotis_crysalus,コロラドミドリシジミ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ly 3.pdf,45,中西部,Quecusで育つ。,北米にはコロラドを中心に２～３千メートルの高地一 種のみ。東アジアのゼフィルスに近縁。艶やかな色彩 は温帯のものではなく、熱帯のものに見える。
Philotes_sonorensis,アカモンジョウザン,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ly 3.pdf,22,Cal～BajaCalifornia,マンネングサの葉の蜜,外縁に斑紋があることで区別される。ユーラシアにはイシダ シジミ一種だが北米には８種分布。本種は前後翅に赤紋を 持つ美麗種。南カルフォルニアが分布の中心。
Limenisis_astyanax,アカテンムラサキタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 1.pdf,82,中東部,ヤナギ、ポプラ、ノイチゴ、サンザシ,中国南西部を中心にｲﾝﾄﾞ･ｵｰｽﾄﾗﾘｱ区・新大陸に分布。飛翔は敏捷、湿地に降りる。食草はﾔﾅｷﾞ科のﾊｺﾔﾅｷﾞ属ｽｲｶｽﾞﾗ 科のｽｲｶｽﾞﾗ属。下の種は、マダラチョウに擬態している。興味深いことに、同一種がオオカバマダラの多い北部ではオオ カバマダラに、ジョウオウマダラの多い南部では、ジョウオウマダラに擬態する。
Limenisis_arthemis,シロイチモンジ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 1.pdf,76,北東部,ヤナギ、カンバ、ポプラ,中国南西部を中心にｲﾝﾄﾞ･ｵｰｽﾄﾗﾘｱ区・新大陸に分布。飛翔は敏捷、湿地に降りる。食草はﾔﾅｷﾞ科のﾊｺﾔﾅｷﾞ属ｽｲｶｽﾞﾗ 科のｽｲｶｽﾞﾗ属。下の種は、マダラチョウに擬態している。興味深いことに、同一種がオオカバマダラの多い北部ではオオ カバマダラに、ジョウオウマダラの多い南部では、ジョウオウマダラに擬態する。
Limenisis_archipus,シロイチモンジ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 1.pdf,85,北東部,ヤナギ、ポプラ,中国南西部を中心にｲﾝﾄﾞ･ｵｰｽﾄﾗﾘｱ区・新大陸に分布。飛翔は敏捷、湿地に降りる。食草はﾔﾅｷﾞ科のﾊｺﾔﾅｷﾞ属ｽｲｶｽﾞﾗ 科のｽｲｶｽﾞﾗ属。下の種は、マダラチョウに擬態している。興味深いことに、同一種がオオカバマダラの多い北部ではオオ カバマダラに、ジョウオウマダラの多い南部では、ジョウオウマダラに擬態する。
Limenisis_aarchipus_floridensis,シロイチモンジ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 1.pdf,85,北東部,ヤナギ、ポプラ,中国南西部を中心にｲﾝﾄﾞ･ｵｰｽﾄﾗﾘｱ区・新大陸に分布。飛翔は敏捷、湿地に降りる。食草はﾔﾅｷﾞ科のﾊｺﾔﾅｷﾞ属ｽｲｶｽﾞﾗ 科のｽｲｶｽﾞﾗ属。下の種は、マダラチョウに擬態している。興味深いことに、同一種がオオカバマダラの多い北部ではオオ カバマダラに、ジョウオウマダラの多い南部では、ジョウオウマダラに擬態する。
Euptoieta_claudia,マダラヒョウモン,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 2.pdf,51,南部,スミレ、パンジー,成虫は中サイズ。北米の固有種で、USに２種。
Euphydryas_anicia,アニカヒョウモンモドキ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 2.pdf,37,西部,Indian paintbrush (Castilleja カステラソウ),Euphydryas属は、構造上あまり変化のない９種あり。このう ち７種が旧北区、２種が新北区。構造上は変化が少ないが 色彩、行動、そして食草に変化あり。
Speyeria_cybele,キベレギンボシ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 3.pdf,90,US,スミレ類,Speyeriaはｱﾒﾘｶのﾋｮｳﾓﾝ属で旧大陸のﾋｮｳﾓﾝ属と近縁の大型ﾋｮｳﾓﾝ。裏に銀紋あり。西部山地に種が多く、基本食草はｽ ﾐﾚ。
Speyeria_idalia,イダリアギンボシ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 3.pdf,90,中東部,スミレ（夜食性）,Speyeriaはｱﾒﾘｶのﾋｮｳﾓﾝ属で旧大陸のﾋｮｳﾓﾝ属と近縁の大型ﾋｮｳﾓﾝ。裏に銀紋あり。西部山地に種が多く、基本食草はｽ ﾐﾚ。
Speyeria_diana,ダイアナギンボシ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 3.pdf,85,東部,スミレ類,Speyeriaはｱﾒﾘｶのﾋｮｳﾓﾝ属で旧大陸のﾋｮｳﾓﾝ属と近縁の大型ﾋｮｳﾓﾝ。裏に銀紋あり。西部山地に種が多く、基本食草はｽ ﾐﾚ。
Myscelia_ethusa,アオタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 4.pdf,78,テキサス南部～中米,,容易に識別できる熱帯アメリカのｼﾞｬﾝｸﾞﾙの蝶。２種がﾃｷ ｻｽ州に生息する。
Biblis_hyperia,ベニオビクロタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 4.pdf,53,テキサス南部～パナマ,Tragia,アカオビクロタテハの一種。後翅の赤帯が地域によって変化 する。中南米が中心で北米に進出。
Marpesia_petreus,ツルギタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 4.pdf,70,フロリダ～ブラジル,,ツルギタテハが代表。この属の成虫は、腐りかけて発酵した ものを好む。熱帯の水溜りによく来る。早朝に開けた場所に 出るが、昼間は木陰で静止する。
Precis_bredowii,シカノメタテハモドキ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 5.pdf,67,南部,オオバコ、ホソバウンラン、ミゾホオズキなど,Precisは莫大な種を容し旧·新大陸とアフリカに分布する。熱 帯潅木林の蝶で開墾地に多い。食草はｷﾂﾈﾉﾏｺﾞ科など。
Precis_coenia,カリフォルニアシスタ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ny 5.pdf,80,西部,live oak（バージニアカシ）,Adelphaは100種を擁する新大陸のイチモンジチョウ。普通 種が多い。北はオレゴン州南はアルゼンチンのオレゴン 諸島まで。種の識別は容易。
Graphium_marcellus,トラフタイマイ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 1.pdf,75,東部,papaw（北米原産の果樹ポポー）,属は日本ではタイマイ属、英語ではKiteSwallowtailといわれ、バンレイシ科、クス科が基本食。本種はPapawa。マ サチューセッツからフロリダまで。日本のアオスジゲハに近縁。
Butttus_philenor,パイプヴァインアゲハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 1.pdf,78,カリフォルニア,野性ショウガや栽培Pipevineなどのウマノスズクサ類,Battus属は、ウマノスズクサを食するアゲハで中南米が分布の中心で１５種生息。カリフォルニアに分布する本種を含めて２種が有尾だが、本種では無尾のものも出現する。
Butttus_philenor,パイプヴァインアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 1.pdf,78,カリフォルニア,野性ショウガや栽培Pipevineなどのウマノスズクサ類,Battus属は、ウマノスズクサを食するアゲハで中南米が分布の中心で１５種生息。カリフォルニアに分布する本種を含めて２種が有尾だが、本種では無尾のものも出現する。
Papilio_troilus,クスノキアゲハ♂,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 2.pdf,103,東部カナダ国境～テキサスまで,"spiceush(クロバナロウバイ属),, Sassafras(米国クスノキ）",Papillio属は全世界に分布。英名はSwallowtailで有尾が多いが無尾のものあり。幼虫は柑橘類を主食とするものが多いが、カナダからテキサス、フロリダまでのミシシッピー東部。
Papilio_troilus,クスノキアゲハ♂裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 2.pdf,103,東部カナダ国境～テキサスまで,"spiceush(クロバナロウバイ属),, Sassafras(米国クスノキ）",Papillio属は全世界に分布。英名はSwallowtailで有尾が多いが無尾のものあり。幼虫は柑橘類を主食とするものが多いが、カナダからテキサス、フロリダまでのミシシッピー東部。
Papilio_cresphonte,オオアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 3.pdf,113,東部,柑橘類など,Papilio属は全世界に分布。英名はSwallowtailで、幼虫は柑橘類を主食とするものが多い。本種は栽培柑橘類の害虫。２本の肉角で外敵を威嚇。分布はカナダからメキシコの国境までの中東 部。
Papilio_troilus,クスノキアゲハ♀,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 3.pdf,110,東部カナダ国境～テキサスまで,"spiceush(クロバナロウバイ属),, Sassafras(米国クスノキ）",Papilio属は全世界に分布。英名はSwallowtailで、幼虫は柑橘類を主食とするものが多い。新大陸には本種のようにクスノキ科を主食とするものあり。
Papilio_glaucus,トラフアゲハ♀,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 4.pdf,110,東部,柳・ポプラ・カバなど,Papillio属の幼虫は柑橘類を主食とするものが多いが本種は柳・ポプラ。ロッキーの東部からカナダから南の東海岸まで。日本のナミアゲハと同様な普通種。
Papilio_rutulus,セイブトラフアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 4.pdf,83,ロッキーより西部,柳・ポプラなど,Papillio属は全世界に分布。英名はSwallowtailで有尾が多いがmemnonのように♂有尾♀無尾のものあり。Papillio属の幼虫は柑橘類を主食とするものが多いが本種は柳・ポプラ。ロッキーの西部からカリフォッルニアまで。日本のナミアゲハと同様な普通種
Papilio_glaucus,トラフアゲハ♀ＵＮ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 4.pdf,100,東部,柳・ポプラ・カバなど,Papillio属の幼虫は柑橘類を主食とするものが多いが本種は柳・ポプラ。ロッキーの東部からカナダから南の東海岸まで。日本のナミアゲハと同様な普通種。
Papilio_palamedes,パラメデスアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 5.pdf,110,南部,Persea、モクレン、米国クスノキ（Sassafras）,Papillio属は全世界に分布。英名はSwallowtailで有尾が多い幼虫は柑橘類を主食とするものが多いが、本種はPersea、モクレン、クスノキでミシシッピー以南に分布、メキシコ に至る。テキサスで蚊に刺されながら採集したのが思い出される。
Papilio_palamedes,パラメデスアゲハ裏,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 5.pdf,110,南部,Persea、モクレン、米国クスノキ（Sassafras）,Papillio属は全世界に分布。英名はSwallowtailで有尾が多い幼虫は柑橘類を主食とするものが多いが、本種はPersea、モクレン、クスノキでミシシッピー以南に分布、メキシコ に至る。テキサスで蚊に刺されながら採集したのが思い出される。
Papilio_polyxenes,クロキアゲハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 6.pdf,76,中東部,パセリ類,全世界に分布。英名はSwallowtailで有尾が多い。幼虫は柑橘類を主食とするものが多い が、本種は日本のキアゲハ同様パセリ。分布は南カナダからフロリダやメキシコ国境まで。 幼虫は２本の肉角で外敵を威嚇。
Parnassius_eversmanni,ウスバキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 7.pdf,53,アラスカ,コマクサ（花やつぼみを好む）,属はApolloともいわれ、３種が新旧北区に分布。もっとも原初的なチョウ。幼虫の食草はケシ科のキリンソウ属、キケマン属、ユキノシタ属。交尾後の♀には尾嚢が形成される。ウスバキは日本の 大雪産と同一種。
Parnassius_phoebus,フォーブスウスバ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-papilio 7.pdf,65,ロッキー,ベンケイソウ,属はApolloともいわれ、３種が新旧北区に分布。もっとも原初的なチョウ。幼虫の食草はケシ科のキリンソウ属、キケマン属、ユキノシタ属。交尾後の♀には尾嚢が形成される。ウスバキは日本の 大雪産と同一種。
Colias_alexsandra,アレキサンダーモンキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-pier 1.pdf,50,カナダ～USA,Astragalus miser,Colias属は、英名はSulphur、日本名はモンキチョウ。雌雄に色彩の差がある。ユーラシアから北米、南米南に分布。食草はツツジ科、ヤナギ科。
Phoebis_philea,アメリカオオキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-pier 1.pdf,77,Fla,アカシア属のbicapsularis,Phoebis属は10種。純粋に新大陸産の大 型のシロチョウ。♂は明るい開けた土地 を好み、湿地で吸水。♀は不活発。雌雄 に色彩差あり。食草はマメ科。
Colias_eurydice,カリフォルニアモンキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-pier 1.pdf,53,Cal,False Indigo,Colias属は、英名はSulphur、日本名はモンキチョウ。雌雄に色彩の差がある。ユーラシアから北米、南米南に分布。食草はツツジ科、ヤナギ科。
Neophasia_terlootii,チリカフアマツシロチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-pier 1.pdf,64,WesternMexico～Arizona MountainArea,ポンデローサ松(北米西部産),この属の２種が北米に。Aporia(ミヤマシロチョウ）に近 い。幼虫はシャクナゲ科に共通の巣を作って住む。幼 虫に二本の短い尾がある。食草は松柏で時に大害虫 となる。
Colias_eurytheme,オオアメリカモンキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-pier 1.pdf,51,US,ムラサキウマゴヤシ(米国の牧草）,Colias属は、英名はSulphur、日本名はモンキチョウ。雌雄に色彩の差がある。ユーラシアから北米、南米南に分布。食草はツツジ科、ヤナギ科。
Anthocharis_sara,メスキツマキチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-pier 1.pdf,37,ロッキーから西部沿岸,カラシナ類,本属は♂の前翅の先端は赤または黄色の小型の蝶。旧・新 の北区には分布するが熱帯にはいない。幼虫の食草はアブラ ナ科の花穂や蕾。
Emeisis_Ares,アレスシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ri 1.pdf,36,南部,,南米の北部に中心を持つおよそ４０種を含む属 で、半分が中米に生息、３種が北米に。この属 の種は互いに類似している。
Lasaia_sula,アオシジミタテハ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-ri 1.pdf,34,南部,,Lasaia属は中南米を中心に５種。北米ではテキ サス州の最南部にsula一種が侵入。成虫は中 程度の大きさで翅表は目立つメタリックブルー。
Lethe_creola,クレオラ＿ヒカゲ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-sa 1.pdf,70,南ヴァージニア～湾岸まで,トウ・サトウキビなど,本属は多数の種がアジアに広く分布し東南アジアに至 る。分布の中心はヒマラヤ。北米の種の数は４種と少 なく、ユーラシアから渡来したことを示す。木陰を好み、 夕方に飛び回る。
Oeneis_chryxus,クリクスオオタカネヒカゲ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-sa 1.pdf,50,US,イネ科植物のPoaceae,このタカネヒカゲ属は米国ではArcticsと言われるよう に、北極圏まで分布し、日本のような低緯度では高山 蝶となる。強風を避けて横倒しに止まる。旧新北区に 広く分布。
Cercyonis_pegala,アオメジャノメ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-sa 1.pdf,75,US,イネ科植物のPoaceae,新北区に４種、メキシコ国境から南カナダに分布する。一種 だけがロッキーより東に分布。食草はｲﾈ科。ﾎﾞﾘﾋﾞｱでは 4000mの高地に生息するものあり。
Erebia_vidleri,セイホク＿タカネヒカゲ,http://biokite.com/worldbutterfly/butterfly_pdf/n_arc/n_arc-sa 1.pdf,48,カナダ～ワシントン州,イネ科植物のPoaceae,ユーラシア大陸からカナダ、北米西部の山地に生息。2年が 一世代のものあり。
